test1_id	test1_url	test2_id	test2_url	similarity
1	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635cb70d8ba69.jpeg	1	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635cb70d8ba69.jpeg	1.00000
2	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635fa3870b9a8.jpeg	2	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635fa3870b9a8.jpeg	1.00000
3	/Users/meitu/Downloads/image/用所选项目新建的文件夹/63614186afc87.jpeg	3	/Users/meitu/Downloads/image/用所选项目新建的文件夹/63614186afc87.jpeg	1.00000
4	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6e40299a.jpeg	4	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6e40299a.jpeg	1.00000
5	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141860e3d5.jpeg	5	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141860e3d5.jpeg	1.00000
6	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417e91715.jpeg	6	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417e91715.jpeg	1.00000
7	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417a6f8b0.jpeg	7	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417a6f8b0.jpeg	1.00000
8	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417d9e9e7.jpeg	8	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361417d9e9e7.jpeg	1.00000
9	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fe9c46b.jpeg	9	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fe9c46b.jpeg	1.00000
10	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ee0a18c.jpeg	10	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ee0a18c.jpeg	1.00000
11	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6f9ebf85.jpeg	11	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6f9ebf85.jpeg	1.00000
12	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fa5c23a.jpeg	12	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fa5c23a.jpeg	1.00000
13	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635fa383d13ab.jpeg	13	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635fa383d13ab.jpeg	1.00000
14	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ec60675.jpeg	14	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ec60675.jpeg	1.00000
15	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6eb3f68f.jpeg	15	/Users/meitu/Downloads/image/用所选项目新建的文件夹/635bb6eb3f68f.jpeg	1.00000
16	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fb51629.jpeg	16	/Users/meitu/Downloads/image/用所选项目新建的文件夹/636141fb51629.jpeg	1.00000
17	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ed6ff66.jpeg	17	/Users/meitu/Downloads/image/用所选项目新建的文件夹/6361b7ed6ff66.jpeg	1.00000
