test1_id	test1_url	test2_id	test2_url	similarity
1	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/137_145.jpg	1	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/137_145.jpg	1.00000
2	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4299.JPG	2	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4299.JPG	1.00000
3	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4272.JPG	3	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4272.JPG	1.00000
4	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/145_151.jpg	4	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/145_151.jpg	1.00000
5	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4306.JPG	5	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4306.JPG	1.00000
6	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4312.JPG	6	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4312.JPG	1.00000
7	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/124_131.jpg	7	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/124_131.jpg	1.00000
8	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4313.JPG	8	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4313.JPG	1.00000
9	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4307.JPG	9	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/IMG_4307.JPG	1.00000
10	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/15_33.jpg	10	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/15_33.jpg	1.00000
11	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/81_97.jpg	11	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/81_97.jpg	1.00000
12	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/25_47.jpg	12	/Users/meitu/Documents/midlife_crisis/project/dy_project/data_fast/素材库/亲子头像/25_47.jpg	1.00000
